region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
76,G_Parietal_Sup-1-L,5.3,5.1538,119.5,0.6951332792042264,False
77,G_Parietal_Sup-1-R,13.6,10.3077,158.5,0.29977069758338093,False
78,G_Parietal_Sup-2-L,16.9,11.7692,170.5,0.1399509245928987,False
79,G_Parietal_Sup-2-R,21.85,22.6154,128.0,0.9558825677512407,False
80,G_Parietal_Sup-3-L,6.55,6.6923,148.5,0.5021296527155965,False
81,G_Parietal_Sup-3-R,9.85,7.4615,135.0,0.8668759802434948,False
82,G_Parietal_Sup-4-L,22.8,28.7692,93.5,0.18442119185582007,False
83,G_Parietal_Sup-4-R,26.85,32.1538,98.5,0.25271329157557276,False
84,G_Parietal_Sup-5-L,27.15,28.5385,124.0,0.839190220960986,False
85,G_Parietal_Sup-5-R,21.95,18.9231,137.0,0.8106210309999801,False
86,G_Supramarginal-1-L,36.85,29.0769,160.0,0.27680328368807205,False
87,G_Supramarginal-1-R,26.55,35.4615,90.0,0.14480325891411253,False
88,G_SupraMarginal-2-L,26.3,24.1538,140.5,0.712270809340092,False
89,G_SupraMarginal-2-R,39.7,26.4615,195.5,0.016563816998521844,False
90,G_Supramarginal-3-L,21.3,32.0,86.5,0.11279788719595164,False
91,G_Supramarginal-3-R,13.35,14.5385,137.0,0.810293815565997,False
92,G_Supramarginal-4-L,14.0,27.3846,79.5,0.0651097874496456,False
93,G_Supramarginal-4-R,17.75,15.2308,150.5,0.4605224083172965,False
94,G_SupraMarginal-5-L,15.75,9.7692,175.0,0.10069974961161873,False
95,G_SupraMarginal-5-R,17.75,16.6923,129.5,1.0,False
96,G_SupraMarginal-6-L,7.65,9.7692,111.0,0.49018051618461145,False
97,G_SupraMarginal-6-R,15.2,16.0769,119.0,0.6980670164719737,False
98,G_SupraMarginal-7-L,26.55,18.0,184.5,0.04645560365965437,False
99,G_SupraMarginal-7-R,18.6,15.2308,156.5,0.3374468164870067,False
100,G_Angular-1-L,26.05,22.2308,162.0,0.24557595256300524,False
101,G_Angular-1-R,33.3,33.5385,132.0,0.9558825677512407,False
102,G_Angular-2-L,37.1,30.8462,161.5,0.25307087920302385,False
103,G_Angular-2-R,35.3,27.3077,165.5,0.19680075568225774,False
104,G_Angular-3-L,33.05,15.5385,207.0,0.004760627384032243,False
105,G_Angular-3-R,29.6,16.5385,197.5,0.013434111893103779,False
106,G_Parietal_Inf-1-L,15.45,19.9231,113.0,0.5427324724917582,False
107,G_Parietal_Inf-1-R,27.4,41.7692,66.0,0.01916410503974948,False
108,S_Intraparietal-1-L,22.05,19.6154,135.5,0.8537086246871443,False
109,S_Intraparietal-1-R,36.85,36.2308,126.5,0.9119439565788667,False
110,S_Intraparietal-2-L,39.8,41.3846,119.0,0.6984522155668853,False
111,S_Intraparietal-2-R,32.3,33.7692,123.5,0.8248562379222433,False
112,S_Intraparietal-3-L,44.95,34.1538,178.0,0.07975117843784628,False
113,S_Intraparietal-3-R,40.1,30.3846,175.0,0.10098486842975384,False
114,S_Intraoccipital-1-L,5.6,4.4615,149.5,0.46527748819733206,False
115,S_Intraoccipital-1-R,4.6,6.4615,123.5,0.8142214654903922,False
116,G_Occipital_Pole-1-L,1.95,1.8462,158.0,0.23517498606917187,False
117,G_Occipital_Pole-1-R,9.6,8.4615,137.5,0.793417544292916,False
